input_id,out_v1,out_v2,out_v3
H000001-YBHXYV,-6191,467846,-6191
H000002-1U9LHN,1465942,1001631,1465942
H000004-U6O7EX,-129361,-329477,-129361
H000006-IBEPVM,807668,69217,807668
H000008-ML5FN9,-770016,-716091,-770016
H000009-T2DY54,0,2712202,0
H000011-YY72TR,-26112,-19048,-26112
H000012-Z7PW98,4045021,60865,4045021
H000013-AM18NI,3537710,6913858,3537710
H000014-ZHFUTP,-17609,-18192,-17609
H000015-3SCUHT,-93683,-31694,-93683
H000016-J6H0P8,-232123,-231156,-232123
H000017-0T4XY5,4075984,336036,4075984
H000018-JS0LA7,-296972,-185145,-296972
H000019-9Z66CY,-160698,-35272,-160698
H000020-9EPVF0,17964,262692,17964
H000021-ZI2UYZ,3282159,163653,3282159
H000022-974OY6,-274151,-466867,-274151
H000023-J1Y1C1,280379,1287581,280379
H000025-OY65GM,6356097,2919089,6356097
H000026-NCPE8D,2279715,-60643,2279715
H000027-NLMGO5,-98060,-18235,-98060
H000028-AMOUKH,28653,255871,28653
H000029-DLH00J,1458372,38453,1458372
H000030-QR3IFG,-357177,-71891,-357177
H000031-6YAP08,5053304,2086140,5053304
H000033-5NU5NY,4290284,3981866,4290284
H000035-XSLSK3,1697989,1562858,1697989
H000037-5EQQ7Q,-75189,-49875,-75189
H000038-EQMK1M,1522853,0,1522853
H000039-VKM3JV,-84431,-12382,-84431
H000040-E65PV4,1530415,1544718,1530415
H000042-UB30K1,2032658,4597,2032658
H000043-PARA8J,-440494,-285634,-440494
H000045-3Y9YKD,268644,670434,268644
H000047-C8D1CS,4808608,3203168,4808608
H000048-6TVQPO,-290631,-199665,-290631
H000049-RZGP4X,3165113,3740702,3165113
H000050-LB818R,4735650,6641424,4735650
H000051-28IWJ3,-421019,-559371,-421019
H000052-J7F70V,5149438,4709365,5149438
H000053-30A8HF,-496678,-18123,-496678
H000054-PBLX8U,1836941,121682,1836941
H000055-QHF2KC,4012,355965,4012
H000057-4LI60D,3924144,2738038,3924144
H000058-QYXYFU,5119355,8197574,5119355
H000059-7E1IV4,5456917,1926513,5456917
H000060-97AXKR,-10340,1276862,-10340
H000061-2TK2M3,5011710,1449019,5011710
H000062-OX3OMF,-353671,-295453,-353671
H000063-0FGMQF,10018390,7391679,10018390
H000064-3BWY4K,-137821,-40776,-137821
H000065-36Q2OT,524580,0,524580
H000066-L0I9LU,-154509,-151976,-154509
H000067-BECRP0,0,935463,0
H000069-A4YM56,-476996,-306093,-476996
H000070-81D1SY,2183810,6601431,2183810
H000071-JJ8OIS,432973,890529,432973
H000072-O13F02,-112929,-24431,-112929
H000073-8ZY82S,-472263,-372073,-472263
H000074-4PU8S7,3379392,3259633,3379392
H000075-SREBH2,6100893,6515224,6100893
H000076-81IY5P,3123975,3567725,3123975
H000077-0E2AXY,4133734,3608306,4133734
H000078-0NH32G,6602298,5971914,6602298
H000079-K14HHD,5730537,6027565,5730537
H000081-KTQRO4,12214198,15278656,12214198
H000082-VIDX4N,-135730,-250103,-135730
H000083-K11YMF,2909775,1611978,2909775
H000084-MRE3G7,-210050,-237954,-210050
H000085-E94MEG,-63379,-266862,-63379
H000086-8V5U50,0,697543,0
H000087-VF2JSB,780805,-12836,780805
H000088-97ZH8H,4012,31589,4012
H000089-PPBGR8,-50318,-39514,-50318
H000092-V4WB1G,8018268,10638403,8018268
H000093-44BIOF,-328514,-95715,-328514
H000094-9MM8A1,-442416,72248,-442416
H000095-B3M1AU,4330835,3170734,4330835
H000096-KSZQSD,-465965,-123396,-465965
H000100-7SIBG4,3899137,5954,3899137
H000101-W5ZUZC,-237371,-83605,-237371
H000103-ACNP42,486037,0,486037
H000105-KCG6F5,1377789,71809,1377789
H000106-2OFIIA,3172583,1304061,3172583
H000107-2538DF,498055,0,498055
H000108-HIPI4L,5106273,3823857,5106273
H000109-C6VLZW,2261242,2297662,2261242
H000110-HQA8Z1,-413155,-307233,-413155
H000111-EU3TG8,-37936,-112212,-37936
H000112-GACMYH,1973548,1179426,1973548
H000113-JPFMHU,1647883,1512003,1647883
H000114-5FBW7V,1959604,923239,1959604
H000115-UW4FR3,-133261,-94125,-133261
H000117-BQM3FL,-18340,1598224,-18340
H000118-NOO1OO,3752974,3338390,3752974
H000119-RJFUBB,-1144224,-696392,-1144224
H000120-KUD2O2,3099919,2044092,3099919
H000121-CKCK6D,3010296,6971449,3010296
H000123-X5YB2J,926762,336027,926762
H000124-29F19D,1179369,338448,1179369
H000125-8GNL0W,-451550,-451155,-451550
H000126-XBZ7BG,3603401,2371785,3603401
H000128-U0KF3A,1489876,3845245,1489876
H000130-PHMP26,2274721,183922,2274721
H000131-POPGRW,-471565,175440,-471565
H000132-JXNFWP,0,5304719,0
H000134-Y73QRW,-78722,-22409,-78722
H000135-51L1T4,1108873,-43598,1108873
H000136-00RO9A,2245369,0,2245369
H000137-9HE78E,-250,-27833,-250
H000138-C9ST0E,3316197,-4492,3316197
H000139-6CXWRJ,3282035,2716046,3282035
H000140-BA36ZX,5182116,7998,5182116
H000141-QG8ZUT,2765772,0,2765772
H000142-4NDB0I,5477266,5898111,5477266
H000143-UMNOWM,3133903,3588841,3133903
H000144-IEWGSY,2498813,1434865,2498813
H000146-940OC9,-255832,-115428,-255832
H000147-9CXTP8,715353,3901618,715353
H000148-XZ6371,4736176,671367,4736176
H000149-F1TIYN,-346028,-107032,-346028
H000151-RMBJUJ,4707120,3419542,4707120
H000152-JKUN5I,1207000,-25565,1207000
H000153-Y24EP6,5062197,41813,5062197
H000155-O673V5,1290951,67289,1290951
H000156-CMY80N,5908,15504,5908
H000157-B0LF3S,17853343,10330832,17853343
H000158-G9102T,-118887,-158053,-118887
H000159-D6J9XQ,985332,1459930,985332
H000160-DKPRLN,1575209,1087448,1575209
H000161-9A5G54,-19029,461784,-19029
H000162-PJ315H,-145393,-108933,-145393
H000164-GUR7DZ,-277471,-61098,-277471
H000165-5097ZB,9722620,8789226,9722620
H000166-ENOGRB,696772,196555,696772
H000167-I32NVM,-118353,-58088,-118353
H000168-I0FWGO,673876,40424,673876
H000169-6TM2BV,2892642,3195518,2892642
H000170-SAJPDZ,107286,0,107286
H000171-DJG9UR,923787,883601,923787
H000173-8EDZMF,1909215,1871592,1909215
H000174-0R7LAI,-54565,-46650,-54565
H000175-7SL6W6,4918851,2880730,4918851
H000176-7U1N8E,2772101,4214037,2772101
H000178-QFK1VX,-143374,-80531,-143374
H000179-DD5WJ4,2565011,2976174,2565011
H000180-PL9YWT,-308259,-342576,-308259
H000181-VC5PTC,1147418,281620,1147418
H000183-LNCYA8,4033279,2586076,4033279
H000184-DI10IB,1597810,3618638,1597810
H000185-OTFY3T,10109375,9641848,10109375
H000186-496Q39,759965,-69774,759965
H000188-NKWBDR,-34750,4284,-34750
H000189-3TNLCO,-78007,-99296,-78007
H000190-1V2LWW,1624552,-99126,1624552
H000191-7WR4AE,0,1067246,0
H000192-CAGF9H,-69027,780427,-69027
H000193-LYXTRS,-252603,-250855,-252603
H000194-HQ9764,-516419,-497232,-516419
H000195-TZ3LL1,7183235,6037464,7183235
H000198-ZHP74H,0,5225,0
H000201-BFKB0N,6267346,5636571,6267346
H000202-YTVAPJ,-171125,-40492,-171125
H000205-5B9JVP,10104550,7173076,10104550
H000206-KIMMDQ,6001143,5844214,6001143
H000208-UM6ZJ5,5871600,5599630,5871600
H000209-489163,1482044,689736,1482044
H000210-917CZN,1228205,-400806,1228205
H000211-63U8GY,1478260,431415,1478260
H000212-PCPD53,249524,0,249524
H000213-IWJXGN,0,1405124,0
H000214-DLRMK3,2623281,3004958,2623281
H000217-P1VXKO,830282,612317,830282
H000218-PAZ1ET,382457,713943,382457
H000219-5MK181,-61928,-50698,-61928
H000221-XDNCSV,0,242,0
H000223-HQ2KXN,-119041,1569326,-119041
H000224-Y4MHHZ,-55801,-17175,-55801
H000225-9DN09E,-956384,-784373,-956384
H000227-X6J6GJ,213314,943264,213314
H000228-VNKB9F,4290152,0,4290152
H000231-7DKED3,4329785,5828495,4329785
H000232-1YYLFD,1087771,3256349,1087771
H000233-4UPHE2,1480456,1276330,1480456
H000234-BAGSPC,-170961,-562950,-170961
H000235-X7JRTW,4306,980911,4306
H000236-EVWZR3,582543,-101705,582543
H000239-HZK9VQ,1180860,257212,1180860
H000242-2J4TZ2,3678682,2690847,3678682
H000244-0Q7Y7G,4713629,4334082,4713629
H000245-F7TS0V,1115892,574255,1115892
H000246-NPVNKU,0,146946,0
H000247-DEXU49,-560185,-419301,-560185
H000248-XX07SJ,13776,761863,13776
H000249-VLY298,3444292,1618201,3444292
H000250-ZTFOYK,-199742,-84596,-199742
H000252-6G689V,0,669611,0
H000253-2HHYXP,3791093,3723990,3791093
H000254-36SEM6,5123308,5070639,5123308
H000256-GSHCXE,-87311,-134826,-87311
H000258-RYVMSW,1389100,2330694,1389100
H000259-PG41MG,310869,-52347,310869
H000260-OSF6MJ,1138131,30072,1138131
H000261-M1EXGG,3642333,4953085,3642333
H000263-C4MPZK,8979567,8076361,8979567
H000265-5UULCE,-319753,-268261,-319753
H000266-KDUVE0,-379559,105346,-379559
H000267-X8MIY0,-165777,-119115,-165777
H000268-GCDUVC,-478,824750,-478
H000269-24KFYC,6427636,2533223,6427636
H000270-S94FCD,-114727,5993,-114727
H000272-3OJD84,4158,3540255,4158
H000274-ZPFFD7,-389281,-436187,-389281
H000275-1QYD8K,8487613,7134345,8487613
H000276-B2LNE6,-237544,-242564,-237544
H000277-UO8ELE,8303596,7289298,8303596
H000278-P0JF1N,3173503,1585307,3173503
H000280-Q2A28X,-365767,3556639,-365767
H000281-8UUQ9L,21975038,18182740,21975038
H000282-HOPN80,512437,1362347,512437
H000283-D60C22,-40520,-39113,-40520
H000284-C8N6YZ,-140489,-376093,-140489
H000285-TZXRPV,676,91471,676
H000286-COCZQ1,810905,3309872,810905
H000288-6NRUIB,2029353,1916669,2029353
H000290-YPY3PN,-83174,-21355,-83174
H000292-5B9JYQ,39878,2210987,39878
H000293-HUPA6C,1203240,268902,1203240
H000294-V90GFN,1929938,2042707,1929938
H000295-5VGEGS,1404383,2835307,1404383
H000296-DRYCBZ,0,361617,0
H000297-CA85G2,1697423,2730527,1697423
H000299-06ZLCH,-314193,-309846,-314193
H000300-M5BRXJ,1149538,470427,1149538
H000301-O4J137,-34989,-38167,-34989
H000302-IOMXDJ,-23589,-91354,-23589
H000303-6B5UBD,263820,398138,263820
H000304-HGJ8XH,2009601,603589,2009601
H000305-GPYW8M,12165,550703,12165
H000306-RNSI1W,-62618,-38103,-62618
H000308-IKFR9V,1767580,79082,1767580
H000309-9VJCOK,-141450,-47185,-141450
H000310-0PLXN8,2130972,2108900,2130972
H000311-3MIRXG,5883733,7391848,5883733
H000312-9H96IY,-82792,2348176,-82792
H000313-CKUBL3,-20872,4098169,-20872
H000314-T6HTNK,-140412,170068,-140412
H000315-MN5FCW,474695,3027915,474695
H000317-A1T1L2,25239,-164581,25239
H000318-S4I8J6,4034,1569247,4034
H000319-J2K0X7,-10140,-2454,-10140
H000320-7WKPQ7,-308441,-125726,-308441
H000322-N5F367,5821322,4976499,5821322
H000323-0HN8VE,13010770,6566895,13010770
H000324-CQ00CK,807517,402638,807517
H000325-85GQ2G,-152784,-171564,-152784
H000326-QWG8YY,-193651,-124173,-193651
H000329-DQZ5UH,3966937,325073,3966937
H000330-U1DQ4Y,2911505,2414379,2911505
H000331-9EYW3W,1790535,55307,1790535
H000332-GYBEL0,1192838,687059,1192838
H000333-88BPSQ,2472617,4234109,2472617
H000334-O1W1JB,5970162,1561316,5970162
H000336-8ZQXGZ,3033368,3024930,3033368
H000337-0ASJEX,3075539,1989897,3075539
H000338-DG1PH1,5560925,0,5560925
H000339-VCOTQO,1800056,2290055,1800056
H000340-W0ELJP,5098688,1368794,5098688
H000341-Y1DE1K,4797144,4889232,4797144
H000342-CQC8UA,1883050,2764739,1883050
H000343-5OC6P8,3339517,-73218,3339517
H000344-WXVXF3,1423864,0,1423864
H000345-KUIRT7,1845014,329370,1845014
H000347-2DMJTI,4506458,4094423,4506458
H000348-T6T54I,1964586,2250921,1964586
H000349-G2V34I,-378095,-143057,-378095
H000350-D1SORQ,3631618,2000940,3631618
H000351-V3PS73,536196,407740,536196
H000352-92F8SE,2294,2798576,2294
H000355-KLKSS7,5196864,4407778,5196864
H000357-J9VNX1,-181508,-30881,-181508
H000358-5MMZW8,1224893,1653818,1224893
H000359-S3DVP4,-107427,-166290,-107427
H000360-VXUU3L,-118703,-128826,-118703
H000361-A9XTSB,1446166,64812,1446166
H000362-89NB8X,15078,824215,15078
H000363-97FENY,6870067,5364047,6870067
H000365-MJXXTR,-189538,4859,-189538
H000366-9JPTR5,4144993,4498737,4144993
H000368-4Y8PQW,7311101,2234304,7311101
H000370-H9JWU1,-53127,3099994,-53127
H000371-W5OG5N,-19077,-94383,-19077
H000373-590YJA,-82499,-8827,-82499
H000374-6KU086,-237929,-192041,-237929
H000375-C2QPL8,7320841,2233629,7320841
H000376-S9KFSL,4830993,3413632,4830993
H000377-6ZXKJU,-610820,-218846,-610820
H000378-00ZVVY,2046725,2803136,2046725
H000379-Z3IH2Z,2674052,4156975,2674052
H000380-BD7P8T,-126529,-6442,-126529
H000382-XLWCQM,3653242,2659564,3653242
H000383-MXU4BP,2572235,2933864,2572235
H000385-WL7NUC,162118,440247,162118
H000387-CX5MFS,1662408,1725707,1662408
H000390-9SCKR5,4402971,-69948,4402971
H000392-HVPQQR,1863560,1554387,1863560
H000393-50RG0H,9881,2513433,9881
H000394-3980V3,-571627,-321402,-571627
H000395-K8KBQ2,-391428,-476702,-391428
H000396-6GSVNP,3145672,3235183,3145672
H000397-RIR7ZF,575040,706193,575040
H000398-ZG9GEM,-391558,-262800,-391558
H000399-GQ4KYW,2468,91159,2468
H000400-UH9FU7,-250532,-171847,-250532
H000401-HHPJTC,-651974,-220977,-651974
H000403-NFAV02,-180295,-541317,-180295
H000405-OEY8P0,-145509,-100771,-145509
H000407-1BZ74R,1628661,545309,1628661
H000408-3M8X0P,1133261,0,1133261
H000409-6FW2T6,27538,252953,27538
H000410-0J9MGT,587826,21838,587826
H000411-NUAIHA,7857812,5136486,7857812
H000412-5ZJBQ4,-157324,1787775,-157324
H000413-CFI01D,7975318,7017594,7975318
H000415-R6KWFC,970254,-202320,970254
H000416-5H0LYD,-131218,-111428,-131218
H000419-Q449GT,4240285,9072,4240285
H000422-SJIQSF,8750950,8000,8750950
H000424-MF7RYX,-10673,981182,-10673
H000425-WZRYEV,-283904,-264345,-283904
H000426-B1O4JX,963918,2110130,963918
H000427-9I7TNS,1768829,835245,1768829
H000428-0X4X9A,-206684,4552234,-206684
H000429-8A5BWA,1885129,-193691,1885129
H000430-63ZI8Q,1874298,7987,1874298
H000433-RE1SX2,-295910,-177637,-295910
H000434-GLTVJP,4402035,986213,4402035
H000436-R4DJ1S,1657010,1383794,1657010
H000439-W5Q5TW,859108,10289,859108
H000440-32NDKE,599228,636564,599228
H000441-SZX9NT,1227749,1301602,1227749
H000442-L2WNUO,346652,-14089,346652
H000443-QH1ME9,14807,1429467,14807
H000444-U4OTTN,1190243,811601,1190243
H000445-FK6TU7,-235704,3392303,-235704
H000446-3DSKX7,-111251,-4337,-111251
H000448-VYQZYA,0,1300055,0
H000450-M68ZXJ,-39617,-20584,-39617
H000451-7PLGXB,492425,1391968,492425
H000453-EZKFKS,710076,81984,710076
H000454-BR56VK,6679262,8853076,6679262
H000455-DH1TVT,-85986,-118208,-85986
H000457-JSLNKP,2140385,1135299,2140385
H000458-A2LHOQ,12962573,4924233,12962573
H000461-NV2MZN,2066924,8002,2066924
H000462-YVO530,2175453,6470558,2175453
H000463-4H7VYD,1964411,0,1964411
H000465-QLQMU5,2865598,1432572,2865598
H000466-Z7A5YZ,-1235608,-751402,-1235608
H000468-N2YKCN,288663,1498455,288663
H000469-F9QT6F,2081411,-66708,2081411
H000470-YQ1GDN,7566064,4523282,7566064
H000471-0RQB9T,533806,1371131,533806
H000474-EBJ69M,-205327,-91035,-205327
H000475-LIDPU1,6993900,2750285,6993900
H000476-UR0IEN,1273348,0,1273348
H000477-I8UKFV,557674,2896090,557674
H000481-Q61KMX,2867781,2703859,2867781
H000483-M2FKIT,6933635,5722785,6933635
H000484-0O0RYF,2012,84216,2012
H000485-7TCRQ4,8972268,6890992,8972268
H000486-QNTNFN,82262,218157,82262
H000487-DWYEMP,3378088,1845014,3378088
H000488-HVYS0S,3039438,2320804,3039438
H000490-GD75GK,-172222,30546,-172222
H000491-UELO1Z,776237,2337783,776237
H000492-BAZ6S1,1245050,-219408,1245050
H000493-2NG4K8,3867590,4502347,3867590
H000494-XNR1D5,31949,-136242,31949
H000495-B436RI,9002,527826,9002
H000497-7FI7QN,3956869,2798289,3956869
H000498-KKLWUK,3131790,809154,3131790
H000500-8ETXDA,1841565,1936735,1841565
H000501-6O1RA6,-457758,-316079,-457758
H000502-HTYPHF,9420038,4608871,9420038
H000503-GES0GP,5221532,1120524,5221532
H000504-NLK7GZ,0,633751,0
H000505-4AVH6D,1649272,-2174,1649272
H000507-X5D0AZ,10824746,6379899,10824746
H000508-7XMT03,3520275,2530686,3520275
H000509-9R1MZV,5957831,2646622,5957831
H000510-2FKWL9,-280370,-241827,-280370
H000511-4K8V9X,1343991,644164,1343991
H000512-DU2E4U,4945927,1492882,4945927
H000513-VNS12S,1915498,502409,1915498
H000514-AW9D08,-12444,1489935,-12444
H000515-JMSWYL,-56323,-193358,-56323
H000516-902ZVO,920845,73169,920845
H000518-8AN59E,-366627,-369794,-366627
H000519-N1CGVX,5085535,5802494,5085535
H000521-X35EJW,6892325,7084255,6892325
H000522-D860TU,-65520,688903,-65520
